alertCode,areaHa,detectedAt,crossedCitiesList,geometryWkt,sources
1381440,48.745,2025-03-01,"[{'name': 'Balsas', 'source': 'Município', 'area_ha': 48.7450186}]","MULTIPOLYGON(((-46.26245 -7.718966,-46.262101 -7.719255,-46.261743 -7.719204,-46.261471 -7.718978,-46.261191 -7.718867,-46.261072 -7.718784,-46.26100580533815 -7.718694455117627,-46.26101274805291 -7.718681949034563,-46.26180458286917 -7.717368223008021,-46.261806606171525 -7.717363373024539,-46.261907111435065 -7.716966026568387,-46.261908 -7.716966,-46.262301 -7.717461,-46.262346 -7.718253,-46.26242 -7.718435,-46.26245 -7.718966)),((-46.26016150647765 -7.714647537373089,-46.260159893341864 -7.714648774110503,-46.26015620789691 -7.714652576589629,-46.25984620788943 -7.715084576578978,-46.25984465186335 -7.715087185529964,-46.25984355994736 -7.715090016327324,-46.25962381106897 -7.715845153276738,-46.259406245726765 -7.716384076547415,-46.25894255548263 -7.717442369488512,-46.258295786501904 -7.718715914493468,-46.25829540293712 -7.718716718690818,-46.25778340290094 -7.71986271867108,-46.25778252932787 -7.719865122082227,-46.25754755342109 -7.720691520285623,-46.25742439208441 -7.720840943964724,-46.256934928748784 -7.720515606222948,-46.2563416823233 -7.720021234211846,-46.256339336465196 -7.720019575530477,-46.256336755256115 -7.720018305664788,-46.25550875528357 -7.71968930567778,-46.255504592882716 -7.719688198058695,-46.2546515929179 -7.719566198063832,-46.254647522288074 -7.719566073298869,-46.253288522345336 -7.719676073294198,-46.253287361582096 -7.719676204629706,-46.25280928064746 -7.719745807589658,-46.252764 -7.719624,-46.253053 -7.718633,-46.253574 -7.717809,-46.254361 -7.715624,-46.255846 -7.713095,-46.257083 -7.710933,-46.257327 -7.710784,-46.259069 -7.713058,-46.260149 -7.714584,-46.26016150647765 -7.714647537373089)))",['SAD-CERRADO']
1380909,388.9741,2025-03-01,"[{'name': 'Tasso Fragoso', 'source': 'Município', 'area_ha': 388.9740902}]","MULTIPOLYGON(((-45.987466 -8.340917,-45.98768 -8.345549,-45.987828 -8.348867,-45.987978 -8.349119,-45.988377 -8.349504,-45.988589 -8.350012,-45.988617 -8.350512,-45.988745 -8.350993,-45.988977 -8.351501,-45.989185 -8.351762,-45.989084 -8.352382,-45.98895 -8.353294,-45.987374 -8.354969,-45.984802 -8.357217,-45.982303 -8.35928,-45.981632 -8.359902,-45.98104 -8.359837,-45.980399 -8.359775,-45.979923 -8.359662,-45.979574 -8.359545,-45.979102 -8.359452,-45.978967 -8.359452,-45.979113 -8.360538,-45.979325 -8.361879,-45.979293 -8.36215,-45.979037 -8.3622,-45.979012 -8.362458,-45.978613 -8.362671,-45.977923 -8.362618,-45.976921 -8.362435,-45.975828 -8.362044,-45.973116 -8.361893,-45.970241 -8.36175,-45.970229 -8.362872,-45.969856 -8.362905,-45.96962 -8.3625,-45.967537 -8.358984,-45.9657 -8.355959,-45.965217 -8.355168,-45.965274 -8.355058,-45.965465 -8.354863,-45.965624 -8.354649,-45.965674 -8.354399,-45.965674 -8.354243,-45.965642 -8.353957,-45.96557 -8.353805,-45.965457 -8.353673,-45.966431 -8.351392,-45.967046 -8.350338,-45.967969 -8.350758,-45.968676 -8.350963,-45.969126 -8.350617,-45.969932 -8.349946,-45.970161 -8.349712,-45.970078 -8.34896,-45.970016 -8.348358,-45.969473 -8.347798,-45.969246 -8.347437,-45.969101 -8.347014,-45.968763 -8.346979,-45.96848 -8.346925,-45.968472 -8.346815,-45.969518 -8.344648,-45.969553 -8.34475,-45.969635 -8.345134,-45.969962 -8.345389,-45.970061 -8.345893,-45.970234 -8.346831,-45.970491 -8.347531,-45.970693 -8.348317,-45.971109 -8.349004,-45.971878 -8.350029,-45.972975 -8.351097,-45.973453 -8.351455,-45.973683 -8.351956,-45.973922 -8.352539,-45.974047 -8.352746,-45.974321 -8.352941,-45.974612 -8.353063,-45.974916 -8.353133,-45.975345 -8.353191,-45.975419 -8.353081,-45.975223 -8.352796,-45.974956 -8.352367,-45.974879 -8.351908,-45.974851 -8.351655,-45.974859 -8.350966,-45.975033 -8.350881,-45.975303 -8.350929,-45.975634 -8.35132,-45.976043 -8.351511,-45.976249 -8.351444,-45.9762 -8.350659,-45.976084 -8.350215,-45.976022 -8.348595,-45.976141 -8.346855,-45.976637 -8.340481,-45.976663 -8.340063,-45.977181 -8.340139,-45.977443 -8.34025,-45.977914 -8.340783,-45.978419 -8.341095,-45.978711 -8.341142,-45.978901 -8.341762,-45.979133 -8.341985,-45.979697 -8.342292,-45.980647 -8.342396,-45.9812 -8.342544,-45.981732 -8.342568,-45.982458 -8.342638,-45.982914 -8.342568,-45.98302 -8.342021,-45.982934 -8.341652,-45.982797 -8.341552,-45.982804 -8.341291,-45.982862 -8.341042,-45.982956 -8.340724,-45.985146 -8.340939,-45.985775 -8.341086,-45.986231 -8.341115,-45.986854 -8.341115,-45.987213 -8.340989,-45.987466 -8.340917)))",['SAD-CERRADO']
1381328,93.751,2025-03-01,"[{'name': 'Balsas', 'source': 'Município', 'area_ha': 93.7509701}]","MULTIPOLYGON(((-46.762945 -9.140272,-46.762619 -9.139875,-46.762348 -9.139725,-46.761933 -9.139452,-46.761597 -9.139019,-46.761377 -9.138707,-46.761144 -9.138274,-46.760084 -9.136999,-46.75955 -9.13636,-46.759328 -9.136586,-46.758565 -9.136699,-46.757145 -9.136841,-46.756878 -9.136959,-46.75668 -9.136922,-46.756499 -9.136849,-46.756337 -9.136721,-46.755914 -9.136551,-46.755129 -9.136499,-46.753716 -9.136536,-46.752489 -9.136557,-46.752459 -9.136674,-46.752457 -9.136997,-46.752518 -9.137248,-46.752669 -9.137554,-46.753061 -9.137596,-46.753561 -9.137641,-46.753836 -9.13778,-46.75409 -9.138098,-46.754108 -9.138489,-46.754061 -9.139326,-46.754153 -9.139583,-46.754335 -9.139706,-46.754578 -9.139785,-46.754809 -9.139868,-46.755 -9.140007,-46.75521 -9.140159,-46.755232 -9.141269,-46.754918 -9.141673,-46.754419 -9.142144,-46.7538 -9.142431,-46.753073 -9.142761,-46.752918 -9.142984,-46.752925 -9.143204,-46.753148 -9.143541,-46.753698 -9.144071,-46.754241 -9.144642,-46.754579 -9.144689,-46.754799 -9.144737,-46.754969 -9.144858,-46.755089 -9.144961,-46.755199 -9.145084,-46.755313 -9.145299,-46.755449 -9.145525,-46.755468 -9.145712,-46.755674 -9.145697,-46.755776 -9.145497,-46.755926 -9.145378,-46.756174 -9.145388,-46.756394 -9.145603,-46.757374 -9.146223,-46.757814 -9.146104,-46.75815 -9.145939,-46.758521 -9.145769,-46.75863 -9.145664,-46.758586 -9.145093,-46.758505 -9.144768,-46.758493 -9.14412,-46.758267 -9.144022,-46.758031 -9.143823,-46.757973 -9.143194,-46.757848 -9.143074,-46.757762 -9.142726,-46.757839 -9.141979,-46.75791 -9.141636,-46.758029 -9.14151,-46.759311 -9.141524,-46.759636 -9.141989,-46.759846 -9.142515,-46.760086 -9.143343,-46.760134 -9.143691,-46.760356 -9.143778,-46.760681 -9.143772,-46.76086 -9.143706,-46.761094 -9.143434,-46.761562 -9.143026,-46.761915 -9.142789,-46.762118 -9.142451,-46.762321 -9.141991,-46.762254 -9.141715,-46.762268 -9.141446,-46.762408 -9.141226,-46.762602 -9.141055,-46.763496 -9.14104,-46.763533 -9.140908,-46.762945 -9.140272)),((-46.765186 -9.133114,-46.765347 -9.133467,-46.765352 -9.133902,-46.765216 -9.134762,-46.765077 -9.135096,-46.765064 -9.136045,-46.765224 -9.136367,-46.765488 -9.13665,-46.765765 -9.136778,-46.765766 -9.137222,-46.765371 -9.137248,-46.765235 -9.137388,-46.764704 -9.137312,-46.764307 -9.137205,-46.763585 -9.13728,-46.763168 -9.13742,-46.762653 -9.137627,-46.762111 -9.137778,-46.761939 -9.138048,-46.761757 -9.138345,-46.761769 -9.138748,-46.761561 -9.13862,-46.761435 -9.138316,-46.760777 -9.137502,-46.760099 -9.136749,-46.759755 -9.136272,-46.759809 -9.1359,-46.760158 -9.135878,-46.760366 -9.135712,-46.760612 -9.135482,-46.760811 -9.135348,-46.761082 -9.135347,-46.761536 -9.135322,-46.761729 -9.135111,-46.761939 -9.134731,-46.762085 -9.134441,-46.76233 -9.13409,-46.762388 -9.133478,-46.762455 -9.133137,-46.765186 -9.133114)))",['SAD-CERRADO']
1380961,16.2578,2025-03-01,"[{'name': 'Tasso Fragoso', 'source': 'Município', 'area_ha': 16.2577528}]","MULTIPOLYGON(((-45.75555873946973 -8.490403937936907,-45.75549249164332 -8.490599119680363,-45.75527094167428 -8.49093690884862,-45.755011062866515 -8.491300340879308,-45.75448972141427 -8.491812710854562,-45.75424230425182 -8.492018226717727,-45.754240170874574 -8.492020319392118,-45.75400727198629 -8.492290044162953,-45.75349615633161 -8.492697204079647,-45.753414 -8.492635,-45.753414 -8.49245,-45.753568 -8.49232,-45.754214 -8.49182,-45.754654 -8.491223,-45.754901 -8.490713,-45.755221 -8.49041,-45.755313 -8.490403,-45.75555873946973 -8.490403937936907)),((-45.754952 -8.490304,-45.754877 -8.490471,-45.754659 -8.490865,-45.754348 -8.491296,-45.753747 -8.49192,-45.75331 -8.492326,-45.753286 -8.492782,-45.753147 -8.493004,-45.753055 -8.493476,-45.752269 -8.496223,-45.751804 -8.497659,-45.751258 -8.499089,-45.7512 -8.499766,-45.751118 -8.499909,-45.751088 -8.499781,-45.751034 -8.49972,-45.750962 -8.49968,-45.750892 -8.499636,-45.750736 -8.499635,-45.750651 -8.499777,-45.750607 -8.499864,-45.750597 -8.50002,-45.750616 -8.500078,-45.750684 -8.500166,-45.75076 -8.500241,-45.750808 -8.500363,-45.750654 -8.500446,-45.750368 -8.500506,-45.749989 -8.500534,-45.749765 -8.500493,-45.750375 -8.498867,-45.751323 -8.495617,-45.752115 -8.492229,-45.752244 -8.491365,-45.752322 -8.491038,-45.75251 -8.490659,-45.752723 -8.490579,-45.754952 -8.490304)))",['SAD-CERRADO']
1380723,45.2655,2025-03-01,"[{'name': 'Balsas', 'source': 'Município', 'area_ha': 45.2654917}]","MULTIPOLYGON(((-45.986051 -7.874041,-45.986269 -7.87473,-45.987574 -7.876981,-45.988547 -7.878678,-45.989184 -7.879642,-45.989482 -7.879556,-45.991583 -7.878433,-45.992814 -7.877894,-45.993871 -7.877304,-45.994455 -7.876982,-45.994338 -7.876938,-45.99382 -7.8772,-45.993406 -7.877184,-45.992566 -7.87702,-45.992105 -7.876756,-45.991974 -7.876556,-45.991843 -7.876174,-45.991541 -7.875728,-45.991216 -7.8749,-45.990661 -7.874092,-45.989646 -7.872598,-45.988622 -7.871479,-45.988069 -7.871003,-45.987774 -7.871094,-45.987329 -7.871357,-45.986647 -7.871545,-45.985862 -7.871262,-45.984965 -7.870787,-45.984903 -7.871015,-45.985828 -7.872125,-45.985699 -7.872213,-45.985554 -7.872054,-45.985428 -7.87207,-45.985426 -7.872421,-45.985388 -7.872583,-45.985223 -7.872783,-45.985504 -7.873284,-45.985864 -7.873722,-45.986051 -7.874041)),((-45.984757 -7.871966,-45.985266 -7.871846,-45.984827 -7.871141,-45.98439 -7.87131,-45.984757 -7.871966)),((-45.984642 -7.870564,-45.98415 -7.87009,-45.983924 -7.869776,-45.983851 -7.869469,-45.983595 -7.869256,-45.983552 -7.869021,-45.983613 -7.868915,-45.983732 -7.868819,-45.983831 -7.868402,-45.982886 -7.868255,-45.98289 -7.86867,-45.982761 -7.868907,-45.982695 -7.869001,-45.983437 -7.870191,-45.98372 -7.870433,-45.984199 -7.871121,-45.984527 -7.871111,-45.984617 -7.870923,-45.984642 -7.870564)))",['SAD-CERRADO']
1380999,13.4542,2025-03-01,"[{'name': 'Tasso Fragoso', 'source': 'Município', 'area_ha': 13.4542079}]","MULTIPOLYGON(((-45.897232 -8.610978,-45.897376 -8.611138,-45.897405 -8.611415,-45.897454 -8.611975,-45.897211 -8.612208,-45.896667 -8.612455,-45.896371 -8.61266,-45.89623 -8.612708,-45.896568 -8.613063,-45.896945 -8.613374,-45.897016 -8.613505,-45.897071 -8.613675,-45.897104 -8.613989,-45.896842 -8.61413,-45.896519 -8.614144,-45.896186 -8.614054,-45.895984 -8.613903,-45.89588 -8.613755,-45.895803 -8.61352,-45.895629 -8.613297,-45.895355 -8.61305,-45.895331 -8.612901,-45.895494 -8.612762,-45.895587 -8.612623,-45.895563 -8.612498,-45.895403 -8.612438,-45.895295 -8.612569,-45.895227 -8.612712,-45.895055 -8.612712,-45.894801 -8.612612,-45.894233 -8.612086,-45.893449 -8.611445,-45.893104 -8.611094,-45.893175 -8.610721,-45.893306 -8.610519,-45.89343 -8.609993,-45.893575 -8.609773,-45.893697 -8.609726,-45.893925 -8.609697,-45.894477 -8.609581,-45.894873 -8.60946,-45.895115 -8.609501,-45.895294 -8.609773,-45.895548 -8.610082,-45.895933 -8.610263,-45.896854 -8.61052,-45.89721 -8.610578,-45.897232 -8.610978)))",['SAD-CERRADO']
1362694,8.349,2025-02-19,"[{'name': 'Balsas', 'source': 'Município', 'area_ha': 8.3490481}]","MULTIPOLYGON(((-46.160605 -7.378284,-46.160585 -7.378768,-46.160563 -7.37923,-46.160482 -7.379581,-46.160174 -7.379818,-46.160497 -7.380027,-46.161208 -7.380334,-46.161599 -7.380416,-46.161899 -7.380469,-46.162149 -7.380578,-46.162788 -7.380705,-46.163445 -7.380839,-46.16347 -7.380504,-46.16338 -7.378304,-46.160721 -7.377989,-46.160605 -7.378284)))",['DETER-CERRADO']
1363752,29.8575,2025-02-19,"[{'name': 'Balsas', 'source': 'Município', 'area_ha': 29.857502}]","MULTIPOLYGON(((-45.873811 -7.555051,-45.874159 -7.554968,-45.87438 -7.554975,-45.874527 -7.554879,-45.874855 -7.554758,-45.875214 -7.554673,-45.875479 -7.5545,-45.875785 -7.554703,-45.875889 -7.554587,-45.875813 -7.554175,-45.875905 -7.553766,-45.876094 -7.553729,-45.876209 -7.553457,-45.876714 -7.553342,-45.877042 -7.553215,-45.877175 -7.552945,-45.877231 -7.552703,-45.877197 -7.55263,-45.877075 -7.552657,-45.876858 -7.552867,-45.876791 -7.552658,-45.876881 -7.552478,-45.876987 -7.552258,-45.876779 -7.552212,-45.876548 -7.55224,-45.876441 -7.552074,-45.876666 -7.551891,-45.87699 -7.551878,-45.877231 -7.55175,-45.87706 -7.551373,-45.875806 -7.551598,-45.874724 -7.551827,-45.874039 -7.551661,-45.87346 -7.551971,-45.87274 -7.552212,-45.872268 -7.552448,-45.871421 -7.552381,-45.870997 -7.552346,-45.870296 -7.551984,-45.869912 -7.551786,-45.869502 -7.551864,-45.869262 -7.551913,-45.869204 -7.552041,-45.869226 -7.552349,-45.869282 -7.552527,-45.869322 -7.55271,-45.869499 -7.552923,-45.869755 -7.553185,-45.870037 -7.553464,-45.870499 -7.553734,-45.871086 -7.554034,-45.872002 -7.555018,-45.872201 -7.555276,-45.872402 -7.555218,-45.873111 -7.555192,-45.873514 -7.55511,-45.873811 -7.555051)),((-45.868499 -7.551836,-45.868654 -7.551798,-45.86886 -7.551766,-45.869027 -7.551938,-45.869169 -7.552136,-45.869149 -7.552404,-45.869252 -7.552748,-45.869433 -7.552984,-45.869671 -7.553233,-45.869793 -7.553361,-45.870031 -7.553514,-45.87025 -7.553699,-45.870533 -7.553852,-45.870945 -7.554043,-45.871209 -7.554254,-45.871486 -7.554579,-45.871724 -7.554822,-45.87186 -7.555102,-45.872014 -7.555338,-45.872269 -7.555718,-45.872501 -7.556203,-45.87256 -7.556811,-45.872663 -7.557111,-45.872863 -7.557327,-45.872702 -7.5575,-45.872657 -7.557595,-45.872399 -7.557819,-45.872277 -7.557965,-45.871994 -7.558087,-45.871955 -7.557793,-45.871846 -7.557525,-45.871839 -7.557219,-45.872077 -7.557232,-45.872264 -7.557066,-45.872361 -7.556753,-45.872309 -7.556517,-45.872071 -7.556517,-45.871929 -7.556383,-45.871891 -7.556262,-45.871833 -7.556109,-45.871955 -7.556026,-45.872019 -7.555937,-45.871929 -7.555784,-45.871825 -7.555684,-45.871741 -7.555436,-45.871729 -7.555251,-45.871587 -7.55504,-45.871471 -7.554983,-45.871239 -7.554957,-45.871149 -7.554798,-45.870872 -7.554479,-45.870872 -7.554345,-45.870782 -7.554198,-45.870499 -7.554102,-45.870422 -7.554026,-45.870312 -7.553988,-45.870151 -7.554045,-45.870126 -7.553854,-45.869945 -7.553752,-45.869765 -7.553726,-45.869604 -7.553739,-45.869514 -7.553592,-45.869327 -7.553675,-45.869109 -7.553637,-45.868948 -7.553426,-45.868748 -7.553267,-45.868568 -7.553088,-45.868465 -7.55305,-45.868272 -7.553152,-45.868072 -7.552897,-45.868072 -7.552737,-45.868169 -7.552571,-45.868265 -7.552501,-45.868497 -7.552399,-45.868343 -7.552342,-45.868323 -7.552201,-45.868323 -7.552016,-45.868439 -7.551908,-45.868499 -7.551836)),((-45.872166 -7.555374,-45.872334 -7.555316,-45.87263 -7.555316,-45.872939 -7.555291,-45.873151 -7.555265,-45.873422 -7.555201,-45.873666 -7.555131,-45.873853 -7.555087,-45.874143 -7.555055,-45.874458 -7.554997,-45.874452 -7.555221,-45.874291 -7.55524,-45.874155 -7.555316,-45.87402 -7.555329,-45.873769 -7.555259,-45.873531 -7.555386,-45.873299 -7.555425,-45.873267 -7.555603,-45.87337 -7.555763,-45.873505 -7.555954,-45.873383 -7.556005,-45.873492 -7.556158,-45.87357 -7.556292,-45.873673 -7.556458,-45.873679 -7.556579,-45.873589 -7.556726,-45.873473 -7.55686,-45.873286 -7.55686,-45.873145 -7.556866,-45.873132 -7.556988,-45.873125 -7.557077,-45.873171 -7.55716,-45.873216 -7.557256,-45.873389 -7.557351,-45.87355 -7.557338,-45.873576 -7.55744,-45.873531 -7.557511,-45.873248 -7.557479,-45.873074 -7.55746,-45.872919 -7.557319,-45.872771 -7.557128,-45.872681 -7.556905,-45.872611 -7.55663,-45.872565 -7.556407,-45.872559 -7.55612,-45.872405 -7.555846,-45.872218 -7.555508,-45.872166 -7.555374)))",['DETER-CERRADO']
1362889,1.3316,2025-02-19,"[{'name': 'Balsas', 'source': 'Município', 'area_ha': 1.3316009}]","MULTIPOLYGON(((-46.267226 -7.56701,-46.267502 -7.567861,-46.267528 -7.568267,-46.267672 -7.568641,-46.267914 -7.569583,-46.267621 -7.569711,-46.267381 -7.568987,-46.267103 -7.568026,-46.266833 -7.567431,-46.26676 -7.567045,-46.267226 -7.56701)))",['DETER-CERRADO']
1362701,61.6408,2025-02-17,"[{'name': 'Tasso Fragoso', 'source': 'Município', 'area_ha': 61.640842}]","MULTIPOLYGON(((-45.87621946 -8.591103876,-45.876254 -8.590707,-45.875791 -8.590962,-45.875482 -8.591089,-45.875019 -8.591038,-45.874375 -8.590631,-45.873757 -8.590453,-45.87332 -8.590656,-45.872985 -8.590835,-45.872966 -8.591318,-45.872838 -8.591649,-45.872451 -8.591726,-45.871525 -8.591904,-45.87101 -8.59198,-45.870238 -8.592082,-45.869594 -8.592031,-45.86877 -8.591878,-45.868461 -8.591929,-45.867587 -8.591738,-45.867277 -8.591267,-45.867464 -8.591042,-45.867436 -8.590635,-45.866816 -8.590508,-45.866535 -8.590024,-45.866226 -8.589998,-45.865691 -8.590081,-45.865785 -8.589743,-45.865001 -8.589488,-45.864544 -8.589023,-45.864141 -8.588292,-45.863961 -8.587706,-45.863914 -8.587361,-45.864115 -8.587197,-45.864471 -8.586796,-45.864567 -8.586244,-45.864058 -8.585891,-45.86346 -8.585931,-45.862911 -8.585963,-45.862363 -8.586004,-45.862159 -8.585849,-45.861361 -8.585924,-45.861331 -8.58637,-45.861642 -8.586857,-45.86163 -8.587157,-45.861517 -8.587803,-45.861434 -8.588654,-45.86137 -8.589264,-45.861048 -8.589965,-45.861035 -8.590664,-45.860996 -8.591259,-45.861123 -8.591929,-45.861189 -8.592905,-45.861242 -8.59328,-45.86132 -8.593256,-45.861418 -8.593252,-45.861459 -8.593458,-45.861653 -8.593491,-45.862296 -8.593644,-45.862682 -8.593669,-45.8633 -8.593644,-45.863378 -8.593949,-45.863506 -8.59428,-45.863841 -8.594459,-45.864253 -8.59451,-45.864768 -8.594433,-45.865229 -8.59429,-45.865823 -8.594212,-45.866323 -8.594012,-45.866698 -8.593949,-45.867368 -8.593797,-45.867882 -8.593695,-45.86832 -8.593618,-45.868964 -8.593695,-45.869247 -8.593618,-45.86953 -8.593185,-45.869916 -8.593134,-45.870328 -8.593007,-45.870946 -8.592931,-45.871229 -8.592854,-45.871924 -8.592753,-45.872722 -8.592753,-45.873005 -8.592854,-45.873391 -8.593134,-45.873752 -8.593211,-45.873983 -8.593033,-45.87437 -8.592982,-45.874782 -8.592956,-45.875193 -8.592651,-45.876197 -8.592014,-45.876197271 -8.591981415,-45.876077631 -8.591976993,-45.87607559 -8.591976705,-45.876073651 -8.591976005,-45.876071898 -8.591974922,-45.876070403 -8.591973503,-45.876069231 -8.591971808,-45.876068432 -8.591969908,-45.876068039 -8.591967885,-45.876037039 -8.591618885,-45.876037064 -8.59161687,-45.876094064 -8.59111587,-45.8760945 -8.591113877,-45.876095332 -8.591112014,-45.876096524 -8.591110359,-45.876098027 -8.59110898,-45.876099779 -8.591107934,-45.876101707 -8.591107266,-45.87610373 -8.591107004,-45.87621946 -8.591103876)))",['DETER-CERRADO']
